Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-05T00:00+01:00;2022-01-06T00:00+01:00;05.01.2022;Totalt i retning Vervarslinga i Nord-Norge;98;100;24;24;0;98;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-05T00:00+01:00;2022-01-06T00:00+01:00;05.01.2022;Totalt;158;100;24;24;0;158;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-06T00:00+01:00;2022-01-07T00:00+01:00;06.01.2022;1;74;100;24;24;0;74;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-06T00:00+01:00;2022-01-07T00:00+01:00;06.01.2022;2;104;100;24;24;0;104;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-06T00:00+01:00;2022-01-07T00:00+01:00;06.01.2022;Totalt i retning Rundkjøring-Fv862-Langnesbakken;74;100;24;24;0;74;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-06T00:00+01:00;2022-01-07T00:00+01:00;06.01.2022;Totalt i retning Vervarslinga i Nord-Norge;104;100;24;24;0;104;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-06T00:00+01:00;2022-01-07T00:00+01:00;06.01.2022;Totalt;178;100;24;24;0;178;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-07T00:00+01:00;2022-01-08T00:00+01:00;07.01.2022;1;66;100;24;24;0;66;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-07T00:00+01:00;2022-01-08T00:00+01:00;07.01.2022;2;92;100;24;24;0;92;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-07T00:00+01:00;2022-01-08T00:00+01:00;07.01.2022;Totalt i retning Rundkjøring-Fv862-Langnesbakken;66;100;24;24;0;66;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-07T00:00+01:00;2022-01-08T00:00+01:00;07.01.2022;Totalt i retning Vervarslinga i Nord-Norge;92;100;24;24;0;92;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-07T00:00+01:00;2022-01-08T00:00+01:00;07.01.2022;Totalt;158;100;24;24;0;158;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-08T00:00+01:00;2022-01-09T00:00+01:00;08.01.2022;1;16;100;24;24;0;16;0;-;-;-;-;-;-;-;-
